relationship_class_name;object_class_name1;object_class_name2;object_name1;object_name1
model__default_stochastic_structure;model;stochastic_structure;steam;deterministic
model__report;model;report;steam;basic_report
stochastic_structure__stochastic_scenario;stochastic_structure;stochastic_scenario;deterministic;realization
model__default_temporal_block;model;temporal_block;steam;hourly
model__default_investment_temporal_block;model;temporal_block;steam;invest
model__default_investment_stochastic_structure;model;stochastic_structure;steam;deterministic
model__temporal_block;model;temporal_block;steam;hourly
model__temporal_block;model;temporal_block;steam;seasonal
model__temporal_block;model;temporal_block;steam;invest
report__output;report;output;basic_report;unit_flow
report__output;report;output;basic_report;node_state
report__output;report;output;basic_report;connection_flow
report__output;report;output;basic_report;total_costs
report__output;report;output;basic_report;objective_penalties
report__output;report;output;basic_report;fuel_costs
report__output;report;output;basic_report;unit_investment_costs
report__output;report;output;basic_report;connection_investment_costs
report__output;report;output;basic_report;storage_investment_costs
report__output;report;output;basic_report;units_invested
report__output;report;output;basic_report;connections_invested
report__output;report;output;basic_report;storages_invested
report__output;report;output;basic_report;units_invested_available
report__output;report;output;basic_report;connections_invested_available
report__output;report;output;basic_report;storages_invested_available
report__output;report;output;basic_report;constraint_nodal_balance
report__output;report;output;basic_report;taxes
report__output;report;output;basic_report;node_slack_neg
report__output;report;output;basic_report;connection_flow_costs
report__output;report;output;basic_report;fixed_om_costs
report__output;report;output;basic_report;variable_om_costs
