;Country;alpha-3
0;Abu Dhabi;
2;Andorra (Principality of);AND
19;Bolivia;BOL
28;Cape Verde;CPV
33;Congo (Democratic Republic of);COD
34;Congo (Republic of);COG
40;Curacao;CUW
42;Czech Republic;CZE
59;Guernsey (States of);GGY
73;Jersey (States of);JEY
77;Korea;KOR
80;Laos;LAO
87;Macedonia;MKD
94;Moldova;MDA
101;Netherlands;NLD
117;Ras Al Khaimah (Emirate of);
123;Sharjah;
131;St. Maarten;SXM
132;St. Vincent & the Grenadines;VCT
134;Swaziland;SWZ
137;Taiwan;TWN
139;Tanzania;TZA
144;Turkey;TUR
149;United Kingdom;GBR
150;United States;USA
153;Venezuela;VEN
154;Vietnam;VNM
157;Brunei;BRN
163;Iran;IRN
164;Korea, D.P.R.;PRK
170;Russia;RUS
174;Syria;SYR
175;Yemen, Republic;YEM
